activity_id,activity_type,name,priority,frequency,facilitator,location,remote_possible,equipment,details,preparation,backup_activity,skip_adjustment,metrics
1,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
2,Exercise,Yoga,Medium,2/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
3,Consultation,Diet_Consultation,Medium,1/month,Dietician,Clinic,No,None,Review_nutrition_and_meal_plan,Prepare_food_log_for_last_week,Online_Diet_Call,Reschedule_next_available_slot,Diet_Report
4,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
5,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
6,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
7,Exercise,Morning_Run,High,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
8,Exercise,Morning_Run,High,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
9,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
10,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
11,Exercise,Morning_Run,High,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
12,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
13,Exercise,Yoga,Medium,3/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
14,Exercise,Morning_Run,Medium,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
15,Medication,Vitamin_D,High,Daily,None,Home,Yes,None,Supplement_for_bone_and_immune_health,Take_after_breakfast,Multivitamin,Reschedule_next_available_slot,Vitamin_Level
16,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
17,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
18,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
19,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
20,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
21,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
22,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
23,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
24,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
25,Exercise,Cycling,Medium,3/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
26,Exercise,Strength_Training,High,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
27,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
28,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
29,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
30,Exercise,Cycling,Medium,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
31,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
32,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
33,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
34,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
35,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
36,Medication,Magnesium,High,Daily,None,Home,Yes,None,Supports_muscle_and_nerve_function,Take_before_sleep,Magnesium_rich_food,Reschedule_next_available_slot,Mineral_Level
37,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
38,Therapy,Sauna_Session,Medium,1/week,Therapist,Wellness_Center,No,Sauna,Heat_therapy_for_muscle_relaxation,Hydrate_before_session,Hot_Bath,Reschedule_next_available_slot,Body_Temperature
39,Consultation,Diet_Consultation,Medium,1/month,Dietician,Clinic,No,None,Review_nutrition_and_meal_plan,Prepare_food_log_for_last_week,Online_Diet_Call,Reschedule_next_available_slot,Diet_Report
40,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
41,Exercise,Strength_Training,Medium,3/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
42,Exercise,Yoga,Medium,3/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
43,Exercise,Cycling,Medium,3/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
44,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
45,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
46,Exercise,Yoga,High,3/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
47,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
48,Consultation,Health_Coach_Call,Medium,1/month,Coach,Remote,Yes,None,Discuss_progress_and_lifestyle_habits,Review_weekly_health_metrics,Email_Checkin,Reschedule_next_available_slot,Wellness_Score
49,Exercise,Morning_Run,Medium,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
50,Exercise,Yoga,High,3/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
51,Exercise,Cycling,Medium,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
52,Exercise,Morning_Run,Medium,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
53,Food,Healthy_Breakfast,High,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
54,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
55,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
56,Exercise,Morning_Run,High,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
57,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
58,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
59,Therapy,Sauna_Session,Medium,1/week,Therapist,Wellness_Center,No,Sauna,Heat_therapy_for_muscle_relaxation,Hydrate_before_session,Hot_Bath,Reschedule_next_available_slot,Body_Temperature
60,Consultation,Health_Coach_Call,Medium,1/month,Coach,Remote,Yes,None,Discuss_progress_and_lifestyle_habits,Review_weekly_health_metrics,Email_Checkin,Reschedule_next_available_slot,Wellness_Score
61,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
62,Food,Post_Workout_Meal,High,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
63,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
64,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
65,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
66,Consultation,Diet_Consultation,Medium,1/month,Dietician,Clinic,No,None,Review_nutrition_and_meal_plan,Prepare_food_log_for_last_week,Online_Diet_Call,Reschedule_next_available_slot,Diet_Report
67,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
68,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
69,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
70,Exercise,Cycling,High,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
71,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
72,Food,Protein_Shake,Medium,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
73,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
74,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
75,Consultation,Health_Coach_Call,Medium,1/month,Coach,Remote,Yes,None,Discuss_progress_and_lifestyle_habits,Review_weekly_health_metrics,Email_Checkin,Reschedule_next_available_slot,Wellness_Score
76,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
77,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
78,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
79,Medication,Vitamin_D,High,Daily,None,Home,Yes,None,Supplement_for_bone_and_immune_health,Take_after_breakfast,Multivitamin,Reschedule_next_available_slot,Vitamin_Level
80,Medication,Vitamin_D,High,Daily,None,Home,Yes,None,Supplement_for_bone_and_immune_health,Take_after_breakfast,Multivitamin,Reschedule_next_available_slot,Vitamin_Level
81,Exercise,Cycling,Medium,3/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
82,Exercise,Cycling,Medium,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
83,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
84,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
85,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
86,Exercise,Morning_Run,High,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
87,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
88,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
89,Exercise,Yoga,High,2/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
90,Exercise,Morning_Run,Medium,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
91,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
92,Food,Protein_Shake,High,Daily,None,Home,Yes,None,Consume_within_30_minutes_post_workout,Blend_protein_powder_with_milk,Greek_Yogurt,Reschedule_next_available_slot,Calories
93,Medication,Vitamin_D,High,Daily,None,Home,Yes,None,Supplement_for_bone_and_immune_health,Take_after_breakfast,Multivitamin,Reschedule_next_available_slot,Vitamin_Level
94,Therapy,Ice_Bath,Medium,1/week,Therapist,Wellness_Center,No,IceBath,Cold_therapy_for_inflammation_reduction,Prepare_cold_water_tub,Cold_Shower,Reschedule_next_available_slot,Recovery_Rate
95,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
96,Medication,Magnesium,High,Daily,None,Home,Yes,None,Supports_muscle_and_nerve_function,Take_before_sleep,Magnesium_rich_food,Reschedule_next_available_slot,Mineral_Level
97,Consultation,Diet_Consultation,Medium,1/month,Dietician,Clinic,No,None,Review_nutrition_and_meal_plan,Prepare_food_log_for_last_week,Online_Diet_Call,Reschedule_next_available_slot,Diet_Report
98,Exercise,Cycling,Medium,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
99,Exercise,Strength_Training,Medium,2/week,Trainer,Gym,No,Weights,Full_body_strength_workout,Warmup_and_mobility_drills,Resistance_Bands,Reschedule_next_available_slot,Muscle_Strength
100,Medication,Omega3,High,Daily,None,Home,Yes,None,Supports_cardiovascular_health,Take_with_meal,Fish_Intake,Reschedule_next_available_slot,Omega_Level
101,Consultation,Physio_Checkup,Medium,1/month,Physiotherapist,Clinic,No,None,Assess_joint_mobility_and_posture,Bring_recent_medical_reports,Online_Physio_Call,Reschedule_next_available_slot,Mobility_Report
102,Medication,Magnesium,High,Daily,None,Home,Yes,None,Supports_muscle_and_nerve_function,Take_before_sleep,Magnesium_rich_food,Reschedule_next_available_slot,Mineral_Level
103,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
104,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
105,Food,Post_Workout_Meal,Medium,Daily,None,Home,Yes,None,Balanced_meal_with_protein_and_carbs,Meal_prep_before_workout,Protein_Shake,Reschedule_next_available_slot,Protein_Intake
106,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
107,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
108,Food,Healthy_Breakfast,High,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
109,Exercise,Morning_Run,Medium,2/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
110,Exercise,Morning_Run,Medium,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
111,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
112,Therapy,Sauna_Session,Medium,1/week,Therapist,Wellness_Center,No,Sauna,Heat_therapy_for_muscle_relaxation,Hydrate_before_session,Hot_Bath,Reschedule_next_available_slot,Body_Temperature
113,Exercise,Cycling,High,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
114,Food,Healthy_Breakfast,Medium,Daily,None,Home,Yes,None,High_protein_balanced_breakfast,Prepare_eggs_and_whole_grains,Protein_Smoothie,Reschedule_next_available_slot,Nutrition_Intake
115,Exercise,Cycling,High,2/week,Trainer,Gym,No,Stationary_Bike,Moderate_intensity_cardio_training,Adjust_bike_height,Brisk_Walking,Reschedule_next_available_slot,Heart_Rate
116,Therapy,Massage_Therapy,Medium,1/week,Therapist,Wellness_Center,No,Massage_Table,Therapeutic_massage_for_muscle_recovery,Wear_comfortable_clothing,Foam_Rolling,Reschedule_next_available_slot,Muscle_Recovery
117,Exercise,Yoga,Medium,2/week,Trainer,Gym,No,Yoga_Mat,Focus_on_flexibility_and_breathing,Light_stretching_before_session,Home_Stretching,Reschedule_next_available_slot,Flexibility
118,Consultation,Health_Coach_Call,Medium,1/month,Coach,Remote,Yes,None,Discuss_progress_and_lifestyle_habits,Review_weekly_health_metrics,Email_Checkin,Reschedule_next_available_slot,Wellness_Score
119,Exercise,Morning_Run,High,3/week,Trainer,Gym,No,Treadmill,Maintain_heart_rate_between_120_140_bpm,Dynamic_warmup_5_minutes,Cycling,Reschedule_next_available_slot,Heart_Rate
120,Therapy,Sauna_Session,Medium,1/week,Therapist,Wellness_Center,No,Sauna,Heat_therapy_for_muscle_relaxation,Hydrate_before_session,Hot_Bath,Reschedule_next_available_slot,Body_Temperature
